ĐÁP ÁN
Câu 1: 
Câu 2: 
Câu 3: 
Câu 4: 
Câu 5: 
Câu 6: 
Câu 7: 
Câu 8: 
Câu 9: 
Câu 10: 
Câu 11: 
Câu 12: 
Câu 13: 
Câu 14: 
Câu 15: 
Câu 16: 
Câu 17: 
Câu 18: 
Câu 19: 
Câu 20: 
Câu 21: 
Câu 22: 
Câu 23: 
Câu 24: 
Câu 25: 
Câu 26: 
Câu 27: 
Câu 28: 
Câu 29: 
Câu 30: 
Câu 31: 
Câu 32: C
Câu 33: 
Câu 34: 
Câu 35: 
Câu 36: 
Câu 37: 
Câu 38: 
Câu 39: 
Câu 40: 
Câu 41: 
Câu 42: 
Câu 43: 
Câu 44: 
Câu 45: 
Câu 46: 
Câu 47: 
Câu 48: 
Câu 49: 
Câu 50: 
Câu 51: 
Câu 52: 
Câu 53: 
Câu 54: 
Câu 55: 
Câu 56: 
Câu 57: 
Câu 58: 
Câu 59: 
Câu 60: 
Câu 61: 
Câu 62: 
Câu 63: 
Câu 64: 
Câu 65: 
Câu 66: 
Câu 67: 
Câu 68: 
Câu 69: 
Câu 70: 
Câu 71: 
Câu 72: 
Câu 73: 
Câu 74: 
Câu 75: 
Câu 76: 
Câu 77: 
Câu 78: 
Câu 79: 
Câu 80: 
Câu 81: 
Câu 82: 
Câu 83: 
Câu 84: 
Câu 85: 
Câu 86: 
Câu 87: 
Câu 88: 
Câu 89: 
Câu 90: 
Câu 91: 
Câu 92: 
Câu 93: 
Câu 94: 
Câu 95: 
Câu 96: 
Câu 97: 
Câu 98: 
Câu 99: 
Câu 100: 
Câu 101: 
